Name	Faculty	Type	HP	Damage
Hermione Granger	Gryffindor	Student	70	17
Oliver Wood	Gryffindor	Teacher	80	20
Neville Dolgopups	Gryffindor	Student	60	16
Harry Potter	Gryffindor	Student	100	25
Ginny Weasley	Gryffindor	Student	50	13
Ron Weasley	Gryffindor	Student	75	19
Seamus Finnigan	Gryffindor	Teacher	75	19
Dean Thomas	Gryffindor	Teacher	75	19
George Weasley	Gryffindor	Student	50	13
Godric Gryffindor	Gryffindor	Avatar	140	30
Fred Weasley	Gryffindor	Student	55	12
Lucian Bowl	Slytherin	Teacher	80	20
Gregory Goyle	Slytherin	Student	50	13
Blaise Zabini	Slytherin	Teacher	75	19
Vincent Crabbe	Slytherin	Student	50	13
Adrian Pussy	Slytherin	Student	50	13
Marcus Flint	Slytherin	Student	50	11
Terence Higgs	Slytherin	Student	65	14
Pansy Parkinson	Slytherin	Student	55	13
Millicent Bullstrode	Slytherin	Teacher	80	19
Bellatrix Black	Slytherin	Student	70	20
Tom Reddle	Slytherin	Student	75	21
Salazar Slytherin	Slytherin	Avatar	140	30
Sedik Diggory	Hufflepuff	Student	50	10
Justin Fitch-Fletchley	Hufflepuff	Student	50	11
Nymphadora Tonks	Hufflepuff	Student	60	12
Susan Bones	Hufflepuff	Teacher	80	19
Ernie Macmillan	Hufflepuff	Teacher	75	17
Pomona Stem	Hufflepuff	Student	55	13
Zechariah Smith	Hufflepuff	Student	50	12
Newt Salamander	Hufflepuff	Student	75	21
Hannah Abbott	Hufflepuff	Teacher	80	18
Helga Hufflpuff	Hufflepuff	Avatar	140	30
Marcus Belby	Ravenclaw	Student	50	13
Roger Davis	Ravenclaw	Student	50	12
Michael Corner	Ravenclaw	Teacher	80	18
Padma Patil	Ravenclaw	Teacher	80	19
Luna Lovegood	Ravenclaw	Student	70	16
Chou Chang	Ravenclaw	Student	55	14
Quirinus Quirrell	Ravenclaw	Student	50	11
Xenophilius Lovegood	Ravenclaw	Teacher	75	18
Goldilocks Locons	Ravenclaw	Student	50	11
Filius Flitwick	Ravenclaw	Student	70	17
Rowena Ravenclaw	Ravenclaw	Avatar	140	30
Mihal Kordyuk	AMI	Founder	120	28
Volodya Dolishniy	AMI	Founder	120	28
Mariya Nayda	AMI	Founder	120	28
Borys Sheika	AMI	Founder	120	28
Anastasiia Yakymets	AMI	Founder	120	28
Roman Kaniuka	AMI	Founder	120	28
Lubomir Halamaga	SoftServe	Mentor	150	35
